2000	0.001085	0.000462
3000	0.001992	0.000023
4000	0.003483	0.000016
5000	0.005601	0.000008
6000	0.007940	0.000059
7000	0.010675	0.000035
8000	0.013870	0.000055
9000	0.015485	0.003343
10000	0.016428	0.003233
11000	0.015633	0.002825
12000	0.016543	0.001326
13000	0.018688	0.000068
14000	0.022741	0.002483
15000	0.024943	0.000149
16000	0.028483	0.000069
17000	0.032189	0.000130
18000	0.036134	0.000089
19000	0.040162	0.000143
20000	0.044635	0.000208
21000	0.049318	0.000100
22000	0.054056	0.000129
23000	0.059105	0.000125
24000	0.064279	0.000203
25000	0.069642	0.000330
26000	0.075524	0.000259
27000	0.081575	0.000040
28000	0.087636	0.000205
29000	0.093863	0.000100
30000	0.100674	0.000185
31000	0.107462	0.000075
32000	0.114674	0.000240
33000	0.121778	0.000109
34000	0.129150	0.000367
35000	0.136806	0.000063
36000	0.144620	0.000198
37000	0.152748	0.000276
38000	0.160955	0.000278
39000	0.169979	0.000001
40000	0.178960	0.000181
41000	0.187652	0.000152
42000	0.196691	0.000155
43000	0.206905	0.000019
44000	0.216326	0.000185
45000	0.226301	0.000500
46000	0.236240	0.000517
47000	0.246830	0.000498
48000	0.257608	0.000319
49000	0.268487	0.000084
50000	0.279205	0.000177
