2000	0.005676	0.001296
3000	0.013643	0.000046
4000	0.013986	0.003492
5000	0.016397	0.001366
6000	0.023213	0.000106
7000	0.031576	0.000033
8000	0.041257	0.000028
9000	0.052320	0.000139
10000	0.064591	0.000057
11000	0.078192	0.000060
12000	0.093117	0.000144
13000	0.109278	0.000056
14000	0.126875	0.000076
15000	0.144985	0.000428
16000	0.161501	0.002556
17000	0.185291	0.001888
18000	0.210598	0.000093
19000	0.234978	0.000205
20000	0.260554	0.000222
21000	0.287424	0.000051
22000	0.315827	0.000152
23000	0.345572	0.000187
24000	0.376335	0.000059
25000	0.408774	0.000196
26000	0.442453	0.000162
27000	0.477514	0.000342
28000	0.513544	0.000103
29000	0.551340	0.000183
30000	0.590219	0.000185
31000	0.630693	0.000156
32000	0.672283	0.000268
33000	0.703014	0.011925
34000	0.752006	0.007654
35000	0.805424	0.000290
36000	0.851930	0.000255
37000	0.899889	0.000027
38000	0.949760	0.000238
39000	1.000666	0.000053
40000	1.052719	0.000289
41000	1.106496	0.000002
42000	1.161302	0.000411
43000	1.217182	0.000244
44000	1.274754	0.000098
45000	1.329537	0.004715
46000	1.373377	0.020852
47000	1.455171	0.000338
48000	1.518284	0.000221
49000	1.582083	0.000427
50000	1.647766	0.000157
